communityEvent/new	communityEvent_new	GET, HEAD	/communityEvent/new/:id
communityEvent/show	communityEvent_show	GET, HEAD	/communityEvent/:id
communityEvent/listCommunity	communityEvent_list_community	GET, HEAD	/communityEvent/listCommunity/:id
communityEvent/memberList	communityEvent_memberList	GET, HEAD	/communityEvent/:id/memberList
communityTopic/recentlyTopicList	communityTopic_recently_topic_list	ANY	/communityTopic/recentlyTopicList
communityEvent/recentlyEventList	communityEvent_recently_event_list	ANY	/communityEvent/recentlyEventList
communityTopic/search	communityTopic_search	GET, HEAD	/communityTopic/search/:id
communityTopic/search	communityTopic_search_all	ANY	/communityTopic/search
communityTopic/searchForm	communityTopic_search_form	ANY	/communityTopic/searchForm
default/error	communityTopic_nodefaults	ANY	/communityTopic/*
opensocial/certificates	opensocial_certificates	ANY	/opensocial/certificates
default/error	application_nodefaults	ANY	/application/*
default/error	gadgets_nodefaults	ANY	/gadgets/*
default/error	opensocial_nodefault	ANY	/opensocial/*
